Filename,Model,Dataset,Scale,PSNR,LPIPS,MS_SSIM,NIQE
0005.png,SRCNN,URBAN100,x2,30.566659881274415,0.03169078007340431,0.9962706565856934,6.722027046426187
0006.png,SRCNN,URBAN100,x2,23.685687932809092,0.20979005098342896,0.9807199835777283,6.850579833649406
0007.png,SRCNN,URBAN100,x2,32.52881663178806,0.05572183430194855,0.9964229464530945,4.173533881945519
0008.png,SRCNN,URBAN100,x2,23.58623311516017,0.1436348855495453,0.9886454939842224,6.278312648304636
0009.png,SRCNN,URBAN100,x2,34.94637843662949,0.06650387495756149,0.994076669216156,5.7620940916559285
0010.png,SRCNN,URBAN100,x2,27.628081000976785,0.08629316091537476,0.9924103617668152,6.967518910546316
0011.png,SRCNN,URBAN100,x2,23.1093160930525,0.06107597053050995,0.9935368895530701,7.3362895615091315
0012.png,SRCNN,URBAN100,x2,24.528511414058084,0.08747342228889465,0.9866317510604858,4.591042830640054
0013.png,SRCNN,URBAN100,x2,30.7851934645779,0.07532940804958344,0.9913156032562256,5.211776867122578
0014.png,SRCNN,URBAN100,x2,23.016592545362812,0.19918933510780334,0.9840441942214966,5.564406715927989
0015.png,SRCNN,URBAN100,x2,27.005534617727523,0.1317540854215622,0.985146701335907,6.088701400317029
0016.png,SRCNN,URBAN100,x2,32.549756193662425,0.048578809946775436,0.9957559108734131,6.500473260395233
0017.png,SRCNN,URBAN100,x2,27.602082389027196,0.09156624972820282,0.9934157133102417,4.859424211854453
0018.png,SRCNN,URBAN100,x2,27.483129150949573,0.18470460176467896,0.9874832034111023,4.299476145862398
0019.png,SRCNN,URBAN100,x2,23.77210332050684,0.09435320645570755,0.9901295900344849,5.45781402107707
0020.png,SRCNN,URBAN100,x2,24.68717552922637,0.134577214717865,0.9914342164993286,4.456543641767594
0021.png,SRCNN,URBAN100,x2,32.017111120285826,0.13192278146743774,0.9922859072685242,5.016471621479679
0022.png,SRCNN,URBAN100,x2,27.09796261565327,0.17971068620681763,0.9878917932510376,5.143831177190029
0023.png,SRCNN,URBAN100,x2,33.43168414940023,0.022817347198724747,0.997291088104248,4.649607171121136
0024.png,SRCNN,URBAN100,x2,22.898112152475388,0.14235489070415497,0.9845112562179565,4.666226529086236
0025.png,SRCNN,URBAN100,x2,32.42178936505865,0.04935696721076965,0.9949027895927429,7.4136788865191265
0026.png,SRCNN,URBAN100,x2,28.102300536187904,0.2324165254831314,0.9769265651702881,6.5556918292597395
0027.png,SRCNN,URBAN100,x2,29.560386539633768,0.1665458381175995,0.9902974963188171,4.991390940855325
0028.png,SRCNN,URBAN100,x2,33.76160567816497,0.09787234663963318,0.9944037199020386,5.740915620382257
0029.png,SRCNN,URBAN100,x2,27.531626939452497,0.09184157848358154,0.9912362098693848,5.43270500711235
0030.png,SRCNN,URBAN100,x2,25.991532189105154,0.08376795053482056,0.991949737071991,5.003564078501042
0031.png,SRCNN,URBAN100,x2,25.75479902734169,0.11494221538305283,0.9917477369308472,4.357279787303261
0032.png,SRCNN,URBAN100,x2,30.853018941627923,0.07778830826282501,0.9931941032409668,5.060296062573102
0033.png,SRCNN,URBAN100,x2,27.59086298790942,0.12841205298900604,0.9867304563522339,5.7891376245861705
0034.png,SRCNN,URBAN100,x2,23.69430277615065,0.1988619565963745,0.981327474117279,4.339082770570584
0035.png,SRCNN,URBAN100,x2,27.919188478233107,0.0653085932135582,0.9934670329093933,6.582883345739815
0036.png,SRCNN,URBAN100,x2,31.49089341039664,0.06431775540113449,0.995710015296936,6.224332237277201
0037.png,SRCNN,URBAN100,x2,30.43811211803976,0.08313895761966705,0.9951679706573486,4.242853765553189
0038.png,SRCNN,URBAN100,x2,28.30507894723884,0.15723952651023865,0.9842009544372559,5.511859826066604
0039.png,SRCNN,URBAN100,x2,23.967325486997176,0.13453687727451324,0.9857116937637329,5.507356035860739
0040.png,SRCNN,URBAN100,x2,29.146482391957615,0.021301772445440292,0.9973980784416199,7.6232883003668634
0041.png,SRCNN,URBAN100,x2,28.268782147539916,0.028041306883096695,0.9954878091812134,7.741591423213252
0042.png,SRCNN,URBAN100,x2,31.55905966321321,0.03860580548644066,0.9961716532707214,5.346855274480465
0043.png,SRCNN,URBAN100,x2,32.03761236057896,0.028242280706763268,0.9958760142326355,7.0276877273489555
0044.png,SRCNN,URBAN100,x2,36.48666178956228,0.013602315448224545,0.9972610473632812,5.709427708820853
0045.png,SRCNN,URBAN100,x2,27.979415563168754,0.07063570618629456,0.9924566745758057,10.698023627582401
0046.png,SRCNN,URBAN100,x2,24.95764550487497,0.14607730507850647,0.9881607294082642,5.086037599080037
0047.png,SRCNN,URBAN100,x2,23.345832636407124,0.07248178869485855,0.9911064505577087,4.301820054244613
0048.png,SRCNN,URBAN100,x2,23.13188512430483,0.0628971979022026,0.9932237863540649,5.190798454118752
0049.png,SRCNN,URBAN100,x2,24.812873475826876,0.13025932013988495,0.9896097183227539,4.612358692555185
0050.png,SRCNN,URBAN100,x2,27.108312901225137,0.14357325434684753,0.9905155897140503,4.398787478909666
0051.png,SRCNN,URBAN100,x2,30.080304629970783,0.06527894735336304,0.9948431849479675,5.1086504278789775
0052.png,SRCNN,URBAN100,x2,29.48232164172957,0.06623555719852448,0.9945553541183472,6.580246682041258
0053.png,SRCNN,URBAN100,x2,24.19923339400817,0.15682464838027954,0.990557849407196,5.2162156139465905
0054.png,SRCNN,URBAN100,x2,22.393579636170102,0.21746011078357697,0.9852564334869385,5.265976800208807
0055.png,SRCNN,URBAN100,x2,32.150080931505805,0.04464970901608467,0.9949517250061035,8.35145113126713
0056.png,SRCNN,URBAN100,x2,27.18407450543742,0.12476129084825516,0.9926597476005554,4.84494561837742
0057.png,SRCNN,URBAN100,x2,32.25981413186823,0.06957374513149261,0.9946279525756836,5.135344654236867
